Song Title,Artist,Popularity,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Speechiness,Time_Signature,Danceability,,,,,,,,,,,,,,,,,,,,,,,,
id 2022 (feat. 267),W/N,57,198857,0.332,0.00108,0,0.113,-9.176,140.006,0.0364,4,0.737,,,,,,,,,,,,,,,,,,,,,,,,
Rainy Days,V,76,179560,0.454,0,9,0.148,-8.016,74.828,0.0875,4,0.633,,,,,,,,,,,,,,,,,,,,,,,,
ROMPE LA DOMPE,Peso Pluma,83,165635,0.642,0.0355,2,0.169,-7.966,130.098,0.0369,3,0.757,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Jones,Counting Crows,78,272293,0.817,3.06E-06,0,0.285,-6.542,141.621,0.0363,4,0.578,,,,,,,,,,,,,,,,,,,,,,,,
"Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam,19,289333,0.786,3.08E-05,9,0.106,-4.819,90.127,0.0452,4,0.474,,,,,,,,,,,,,,,,,,,,,,,,
I Was Never There,The Weeknd,84,241067,0.737,0.000162,10,0.163,-4.008,113.26,0.0338,4,0.323,,,,,,,,,,,,,,,,,,,,,,,,
How to Save a Life,The Fray,81,262533,0.743,0,10,0.101,-4.08,122.035,0.0379,4,0.64,,,,,,,,,,,,,,,,,,,,,,,,
Running Up That Hill (A Deal With God),Kate Bush,82,298933,0.545,0.00308,10,0.0604,-13.123,108.376,0.0546,4,0.629,,,,,,,,,,,,,,,,,,,,,,,,
Fortunate Son,Creedence Clearwater Revival,86,140773,0.663,0.00806,0,0.152,-7.516,132.77,0.0374,4,0.64,,,,,,,,,,,,,,,,,,,,,,,,
Not Allowed,TV Girl,86,167864,0.905,0.000227,1,0.349,-6.855,104.965,0.129,4,0.67,,,,,,,,,,,,,,,,,,,,,,,,
Seu Brilho Sumiu - Ao Vivo,Israel & Rodolffo,71,168840,0.916,0,6,0.906,-3.704,153.664,0.0461,4,0.625,,,,,,,,,,,,,,,,,,,,,,,,
Pamit,Tulus,70,232516,0.3,0.000296,4,0.0967,-10.157,77.875,0.0304,4,0.303,,,,,,,,,,,,,,,,,,,,,,,,
ANTIFRAGILE,LE SSERAFIM,77,184444,0.784,0,10,0.125,-3.944,105.019,0.081,4,0.879,,,,,,,,,,,,,,,,,,,,,,,,
Lorî,Xece,41,206227,0.426,1.06E-06,6,0.253,-6.742,99.448,0.0335,3,0.289,,,,,,,,,,,,,,,,,,,,,,,,
El Precio De La Soledad,Alfredo Olivas,78,186360,0.846,2.57E-06,10,0.084,-3.665,95.426,0.18,4,0.715,,,,,,,,,,,,,,,,,,,,,,,,
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli,71,200992,0.382,0,7,0.128,-8.237,87.029,0.0466,4,0.718,,,,,,,,,,,,,,,,,,,,,,,,
Haganse A Un Lado,Legion RG,75,156224,0.784,0,5,0.077,-4.994,119.864,0.0436,3,0.643,,,,,,,,,,,,,,,,,,,,,,,,
Kun Faya Kun,A.R. Rahman,70,470500,0.378,0,1,0.091,-11.008,87.549,0.0329,4,0.362,,,,,,,,,,,,,,,,,,,,,,,,
God's Plan,Drake,84,198973,0.449,8.29E-05,7,0.552,-9.211,77.169,0.109,4,0.754,,,,,,,,,,,,,,,,,,,,,,,,
GARS DU ZOO,UZI,70,163654,0.545,0,8,0.117,-6.684,132.974,0.223,4,0.876,,,,,,,,,,,,,,,,,,,,,,,,
Dust in the Wind,Kansas,81,206267,0.322,0.00056,7,0.11,-10.687,93.503,0.0283,4,0.475,,,,,,,,,,,,,,,,,,,,,,,,
I Hate It Here,Taylor Swift,86,243876,0.564,0,2,0.359,-7.107,104.977,0.0355,4,0.378,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,Taylor Swift,66,240206,0.59,0,10,0.169,-9.828,139.93,0.0576,4,0.584,,,,,,,,,,,,,,,,,,,,,,,,
Perdoa Por Tudo Vida,Veigh,67,160000,0.32,0,1,0.0848,-10.635,114.005,0.444,4,0.738,,,,,,,,,,,,,,,,,,,,,,,,
Fashion Habits,Ken Carson,55,201682,0.617,0,0,0.14,-6.303,144.005,0.306,4,0.782,,,,,,,,,,,,,,,,,,,,,,,,
DO ZERO,Nagalli,58,158609,0.461,0,1,0.118,-5.838,114.973,0.0772,4,0.839,,,,,,,,,,,,,,,,,,,,,,,,
Vieni nel mio cuore,Ultimo,64,172762,0.66,0,1,0.177,-7.104,127.087,0.0462,4,0.677,,,,,,,,,,,,,,,,,,,,,,,,
El Cielo,Sky Rompiendo,80,191321,0.642,0,10,0.0997,-7.492,105.964,0.0515,4,0.715,,,,,,,,,,,,,,,,,,,,,,,,
UNA BALA,Milo j,76,183891,0.6,0,11,0.547,-4.687,95.825,0.0383,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,
El Gordo Trae El Mando,Chino Pacas,83,112087,0.8,0,7,0.0498,-5.38,140.253,0.0525,3,0.736,,,,,,,,,,,,,,,,,,,,,,,,
EL MAKINON,KAROL G,77,209160,0.706,0,5,0.108,-3.224,88.863,0.125,4,0.635,,,,,,,,,,,,,,,,,,,,,,,,
Rojo,J Balvin,73,150720,0.598,8.02E-05,11,0.0856,-4.042,172.245,0.17,4,0.663,,,,,,,,,,,,,,,,,,,,,,,,
I AM,IVE,78,183853,0.875,0,4,0.084,-4.866,122.002,0.0549,4,0.683,,,,,,,,,,,,,,,,,,,,,,,,
When It Comes To You,Fridayy,69,168075,0.465,0,0,0.233,-8.765,139.566,0.157,4,0.559,,,,,,,,,,,,,,,,,,,,,,,,
ケセラセラ,Mrs. GREEN APPLE,75,272227,0.578,0,6,0.0534,-4.575,115.004,0.0327,4,0.756,,,,,,,,,,,,,,,,,,,,,,,,
The Reasons of My Smiles,BSS,77,213773,0.624,0,0,0.119,-6.539,95.995,0.0523,4,0.695,,,,,,,,,,,,,,,,,,,,,,,,
Bleed It Out,Linkin Park,81,166373,0.967,0,1,0.61,-3.647,140.127,0.0508,4,0.529,,,,,,,,,,,,,,,,,,,,,,,,
NA PAS,Kidd,62,151385,0.85,0,5,0.144,-6.691,130.027,0.175,4,0.698,,,,,,,,,,,,,,,,,,,,,,,,
Livin' On A Prayer,Bon Jovi,86,249293,0.887,0.000214,0,0.294,-3.757,122.511,0.0335,4,0.532,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted (Taylor's Version),Taylor Swift,82,353253,0.532,0,8,0.149,-3.526,81.907,0.0265,4,0.505,,,,,,,,,,,,,,,,,,,,,,,,
Safe And Sound,Capital Cities,84,192790,0.819,0.00374,0,0.104,-4.852,117.956,0.0316,5,0.655,,,,,,,,,,,,,,,,,,,,,,,,
Przester,Young Leosia,74,183749,0.68,7.85E-05,10,0.288,-6.186,116.989,0.195,4,0.738,,,,,,,,,,,,,,,,,,,,,,,,
Cama Repetida,Leo Santana,73,171101,0.83,0,2,0.334,-2.502,122.109,0.122,4,0.841,,,,,,,,,,,,,,,,,,,,,,,,
